Run,Assay Type,AvgSpotLen,BioProject,BioSample,Center Name,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name,Host_Age,host_body_product,host_body_temp,Host_Diet,host_family_relationship,host_growth_cond,host_last_meal,host_life_stage,host_sex,host_taxid,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,perturbation,Platform,ReleaseDate,samp_store_temp,sample_acc,Sample Name,SRA Study,BIOME,collectiondate,env_package,feature,host_common_name,investigation_type,label,material,project_name,samp_mat_process,samp_size,samp_store_dur,specific_host,sub_species,chem_administration,collection_date,env_biome,env_feature,env_material,host
SRR5368889,WGS,747,PRJNA237795,SAMN02645036,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664145,Ames Iowa,47 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,188_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,129,91,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560610,188_7.sff,SRP038757,swine intestinal tract,6/11/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,188,,,,,,,
SRR5368880,WGS,741,PRJNA237795,SAMN02645047,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664136,Ames Iowa,35 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,189_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,66,46,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560622,189_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,189,,,,,,,
SRR5368886,WGS,767,PRJNA237795,SAMN02645041,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664142,Ames Iowa,41 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,189_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,80,54,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560616,189_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,189,,,,,,,
SRR5368884,WGS,759,PRJNA237795,SAMN02645043,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664140,Ames Iowa,42 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,189_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,62,43,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560618,189_2.sff,SRP038757,swine intestinal tract,6/6/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,189,,,,,,,
SRR5368877,WGS,753,PRJNA237795,SAMN02645048,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664133,Ames Iowa,47 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,189_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,90,63,gut metagenome,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560623,189_7.sff,SRP038757,swine intestinal tract,6/11/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,189,,,,,,,
SRR5368868,WGS,728,PRJNA237795,SAMN02645059,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664124,Ames Iowa,35 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,190_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,85,60,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560634,190_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,190,,,,,,,
SRR5368874,WGS,755,PRJNA237795,SAMN02645053,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664130,Ames Iowa,41 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,190_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,142,97,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560628,190_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,190,,,,,,,
SRR5368872,WGS,749,PRJNA237795,SAMN02645055,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664128,Ames Iowa,42 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,190_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,101,70,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560630,190_2.sff,SRP038757,swine intestinal tract,6/6/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,190,,,,,,,
SRR5368865,WGS,741,PRJNA237795,SAMN02645060,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664121,Ames Iowa,47 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,190_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,100,71,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560635,190_7.sff,SRP038757,swine intestinal tract,6/11/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,190,,,,,,,
SRR5368857,WGS,747,PRJNA237795,SAMN02645071,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664113,Ames Iowa,35 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,191_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,105,73,Sus scrofa domesticus,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560646,191_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,56 grams feces,28 to 6 months,191,domesticus,,,,,,
SRR5368862,WGS,769,PRJNA237795,SAMN02645065,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664118,Ames Iowa,41 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,191_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,124,84,gut metagenome,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560640,191_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,1 grams feces,1 to 6 months,191,,,,,,,
SRR5368860,WGS,757,PRJNA237795,SAMN02645067,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664116,Ames Iowa,42 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,191_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,146,100,Sus scrofa domesticus,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560642,191_2.sff,SRP038757,swine intestinal tract,6/6/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,20 grams feces,1 to 6 months,191,domesticus,,,,,,
SRR5368854,WGS,759,PRJNA237795,SAMN02645072,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664110,Ames Iowa,47 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,191_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,81,56,Sus scrofa domesticus,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560647,191_7.sff,SRP038757,swine intestinal tract,6/11/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,68 grams feces,40 to 6 months,191,domesticus,,,,,,
SRR5368845,WGS,738,PRJNA237795,SAMN02645083,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664101,Ames Iowa,35 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,192_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,129,90,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560658,192_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,50 grams feces,22 to 6 months,192,domesticus,,,,,,
SRR5368851,WGS,765,PRJNA237795,SAMN02645077,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664107,Ames Iowa,41 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,192_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,126,86,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560652,192_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,3 grams feces,1 to 6 months,192,domesticus,,,,,,
SRR5368849,WGS,751,PRJNA237795,SAMN02645079,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664105,Ames Iowa,42 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,192_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,108,75,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560654,192_2.sff,SRP038757,swine intestinal tract,6/6/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,14 grams feces,1 to 6 months,192,domesticus,,,,,,
SRR5368842,WGS,748,PRJNA237795,SAMN02645084,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664098,Ames Iowa,47 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,192_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,101,71,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560659,192_7.sff,SRP038757,swine intestinal tract,6/11/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,62 grams feces,34 to 6 months,192,domesticus,,,,,,
SRR5368839,WGS,745,PRJNA237795,SAMN02645095,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664095,Ames Iowa,35 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow A,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,193_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,92,63,Sus scrofa domesticus,non-medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560670,193_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,57 grams feces,29 to 6 months,193,domesticus,,,,,,
SRR5368830,WGS,735,PRJNA237795,SAMN02645107,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664086,Ames Iowa,35 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow B,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,194_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,77,53,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560682,194_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,51 grams feces,23 to 6 months,194,domesticus,,,,,,
SRR5368836,WGS,764,PRJNA237795,SAMN02645101,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664092,Ames Iowa,41 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow B,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,194_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,131,89,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560676,194_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,4 grams feces,1 to 6 months,194,domesticus,,,,,,
SRR5368834,WGS,756,PRJNA237795,SAMN02645103,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664090,Ames Iowa,42 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow B,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,194_2_feces_mg,SINGLE,RANDOM,METAGENOMIC,126,87,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560678,194_2.sff,SRP038757,swine intestinal tract,6/6/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,15 grams feces,1 to 6 months,194,domesticus,,,,,,
SRR5368827,WGS,744,PRJNA237795,SAMN02645108,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664083,Ames Iowa,47 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow B,ambient,not fasted,grower pig,male,9825,454 GS FLX Titanium,194_7_feces_mg,SINGLE,RANDOM,METAGENOMIC,52,37,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560683,194_7.sff,SRP038757,swine intestinal tract,6/11/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,63 grams feces,35 to 6 months,194,domesticus,,,,,,
SRR5368818,WGS,738,PRJNA237795,SAMN02645119,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664074,Ames Iowa,35 days,feces,39,"TechStart 17-25\, Kent Feeds\, Muscatine\, IA",Offspring of sow B,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,195_5_feces_mg,SINGLE,RANDOM,METAGENOMIC,92,64,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560694,195_5.sff,SRP038757,swine intestinal tract,5/30/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,52 grams feces,24 to 6 months,195,domesticus,,,,,,
SRR5368824,WGS,763,PRJNA237795,SAMN02645113,IOWA STATE UNIVERSITY,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2664080,Ames Iowa,41 days,feces,39,"TechStart 17-25 (Kent Feeds\, Muscatine\, IA)",Offspring of sow B,ambient,not fasted,grower pig,female,9825,454 GS FLX Titanium,195_1_feces_mg,SINGLE,RANDOM,METAGENOMIC,104,70,Sus scrofa domesticus,medicated,LS454,2017-04-03T00:00:00Z,-20 degrees Celsius,SRS560688,195_1.sff,SRP038757,swine intestinal tract,6/5/12,MIGS/MIMS/MIMARKS.host-associated,none,pig,metagenome,swine,freshly voided feces,Antibiotic (carbadox) effects on the swine gut microbiota,1 gram of freshly voided feces,5 grams feces,1 to 6 months,195,domesticus,,,,,,
